"","source_id","ra","dec","phot_g_mean_mag","pmra","pmdec"
"75",1153406462249990144,225.298691186367,1.85385133226801,7.929752,NA,NA
"76",1153609798886684928,226.320190093314,2.01682932404831,7.738502,NA,NA
"77",1153704051943956736,226.778605303943,2.36253642848497,6.030388,NA,NA
"78",1153780605441364224,225.724909378834,2.09136492858358,4.094921,NA,NA
"79",1153963227450553216,226.616176356817,3.00913922704044,7.217512,NA,NA
"80",1154180518435923840,223.535730128703,2.14251737218329,7.8834095,NA,NA
"81",1154283047895139840,223.733715898784,2.41864956371271,7.833052,NA,NA
"82",1154366988736071680,223.412557083087,2.23744976005122,6.1512327,NA,NA
"83",1154515251007422464,224.128774575597,2.92019381894795,7.239097,NA,NA
"84",1154652071485226240,225.255418733194,2.89709829534867,6.6028633,NA,NA
"85",1154730235595338752,225.054031404596,3.26150929301331,7.786862,NA,NA
